candidate id (if applicable),committee id,committee name,filing frequency,Election year (if applicable),committee type,committee designation,filing start date,filing end date,total disbursements,new loans,outstanding loans,total receipts,cash on hand close of period,contributions from party committees,contributions from other committees,Transfers received from other affiliated or authorized committees,Individual Itemized Contribution,Individual Unitemized Contribution,Contributions from the candidate (candidate committees only),Sum of loans from the candidate,Sum of loans from other sources
can_id,com_id,com_nam,fil_fre,fec_ele_yea,com_typ,com_des,coverage_from_date,coverage_through_date,tot_dis,tot_loa,deb_owe_by_com,tot_rec,cas_on_han_clo_of_per,par_com_con,oth_com_con,tra_fro_oth_aut_com,ind_ite_con,ind_uni_con,can_con,can_loa,oth_loa
,C00576819,441PAC,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,,,,10.00,10.00,,,,,10.00,,,
H4CA46129,C00562710,ADAM NICK FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,21520.05,,,17650.23,,,,,,,17650.23,,
S4MN00353,C00546630,ABELER4SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,303.00,,548.00,180.00,18795.00,,,,,180.00,,,
H4NJ03106,C00550103,AIMEE BELGARD FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,3383.61,,,,7931.64,,,,,,,,
H4OR02178,C00558304,AELEA FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,719.40,,10000.00,,,,,,,,,,
,C00489641,ACCOUNTABILITY 2010,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,,,,,27976.86,,,,,,,,
S8MN00438,C00480384,AL FRANKEN FOR SENATE 2014,Quarterly,2016,Senate,Authorized by Candidate,2015-01-01,2015-03-31,217149.00,,,14962.00,95734.00,,,,500.00,5550.00,,,
H0FL02086,C00460261,AL LAWSON FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,25458.34,,-18680.78,,,,,,,,
,C00570994,ALASKANS FOR DAN SULLIVAN,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,217.00,,,83905.00,83688.00,,46000.00,2000.00,35400.00,505.00,,,
H6NJ01188,C00569335,ALEX LAW FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,4228.09,3600.00,3600.00,5860.00,3128.87,,,,600.00,1660.00,,3600.00,
S2TN00058,C00383745,ALEXANDER FOR SENATE 2020 INC,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,164270.00,,,24885.00,143104.00,,17100.00,,6400.00,200.00,,,
H2GA11180,C00567289,"ALLAN LEVENE FOR CONGRESS, HAWAII COMMITTEE",Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-01-16,,,,,,,,,,,,,
S4NM00100,C00555573,ALLEN WEH FOR SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,2257.00,,455000.00,1300.00,4217.00,,,,1250.00,,,,
H4PA13124,C00389197,ALLYSON SCHWARTZ FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-18,3300.61,,,201.00,,,,,,,,,
S4MT00159,C00567834,AMANDA CURTIS FOR SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-02-18,9827.00,,,837.00,,,,,,,,,
H0CA03078,C00461061,AMI BERA FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,109061.49,,324800.00,309469.59,352914.43,483.27,135700.00,,148226.00,23707.83,,,
H4FL08085,C00543439,AMERICANS FOR GABRIEL ROTHBLATT,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,19849.00,,,13033.98,-6815.02,,,,,,13033.88,,
H4AZ09023,C00543280,ANDREW WALTER FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,750.00,,,0.23,3207.33,,,,,,,,
H8IN07184,C00442921,ANDRE CARSON FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,80105.97,,,83980.20,689083.93,,42550.00,,36650.00,4490.00,,,
H0KY06104,C00467571,"ANDY BARR FOR CONGRESS, INC.",Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,67072.17,,,260257.80,681950.96,,98543.90,130.82,159624.00,1131.25,,,
S8NJ00392,C00448654,ANDREWS FOR SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,53.00,,114606.00,12.00,2007.00,,,,,,,,
H0AZ01325,C00550012,ANDY TOBIN FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-01-26,8352.74,,,187.19,74.82,,,,,,,,
S2ME00109,C00516047,ANGUS KING FOR US SENATE CAMPAIGN,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,15733.00,20000.00,80000.00,41043.00,83440.00,,2000.00,,18625.00,200.00,218.00,20000.00,
H4NV01153,C00559492,ANNETTE TEIJEIRO FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,268.93,,8024.15,,-6662.16,,,,,,,,
S4SD00064,C00547539,ANNETTE BOSWORTH MD FOR US SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,13301.00,,33000.00,,,,,,,,,,
H4NJ06109,C00561043,ANTHONY E WILKINSON FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,6419.89,5100.00,,5325.42,,,,,,136.00,,5100.00,
H4IA03065,C00546507,"APPEL FOR IOWA, INC.",Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,52089.67,,,22.05,33373.11,,,,,20.00,,,
H4CA04102,C00559252,ART MOORE FOR CONGRESS 2014,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,35000.00,,5000.00,,308.16,,,,,,,,
H0GA08099,C00482737,AUSTIN SCOTT FOR CONGRESS INC,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,42937.01,,8719.63,82461.59,502123.50,,69500.00,,12050.00,620.00,,,
H6MN06074,C00410118,BACHMANN FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,117198.36,,3967.66,19524.02,1603798.66,,,,,,,,
H6MN06074,C00497511,BACHMANN FOR PRESIDENT,Quarterly,2016,House,Authorized by Candidate,2015-01-01,2015-03-31,,,,,,,,,,,,,
H2AL06035,C00260547,BACHUS FOR CONGRESS COMMITTEE,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,8723.17,,,2444.41,,,,,,,,,
H4NC01095,C00558072,ARTHUR RICH FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,212.00,,3590.00,225.00,28.00,,,,,,225.00,,
H4NC07068,C00543074,BARFIELD FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,1.67,,,,,,,,,,,,
S4MN00262,C00453241,BARKLEY FOR SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,,,28507.00,,-9.00,,,,,,,,
H4SC03129,C00560706,BARBARA JO FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-04-01,,,5000.00,,-69.45,,,,,,,,
H2NC08169,C00500710,BARRY FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,222674.92,,515.25,,,,,,,,
H2MD06054,C00255190,BARTLETT FOR CONGRESS COMMITTEE,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,,,,,,,,,
H2IN06171,C00467613,BATES FOR CONGRESS COMMITTEE,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,,,,,,,,,
H2RI01137,C00367284,BATTLES FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,13775.00,,1142.21,,,,,,,,
S4NE00082,C00547406,BART MCLEAY FOR US SENATE INC,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,,,148388.00,,,,,,,,,,
H6MD08291,C00305656,BARVE FOR CONGRESS COMMITTEE,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,6736.73,,,,,,,,
H4NC12076,C00545400,BATTLE FOR CONGRESS,Quarterly,2016,House,Authorized by Candidate,2015-01-01,2015-03-31,,,12050.00,,499.19,,,,,,,,
H2CA30143,C00264101,BECERRA FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,258757.64,,,262872.71,1293053.59,,181000.00,,72912.61,913.00,,,
H0NY04099,C00484774,BECKER FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,123.00,,112063.76,,1040.47,,,,,,,,
S6NE00095,C00432401,BEN NELSON 2012,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,-13765.00,,,,95343.00,,,,,,,,
S4NE00090,C00547976,BEN SASSE FOR US SENATE INC,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,218357.00,,508058.00,136640.00,706178.00,,95974.00,,27050.00,13177.00,,,
H0MI01088,C00476325,"BENISHEK FOR CONGRESS, INC.",Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,50713.47,,99500.00,114732.24,90497.20,,85750.00,,18250.00,10105.00,,,
H4IN09072,C00547612,BILL BAILEY FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,1798.01,,,,,,,,,,,,
H6FL09070,C00408534,BILIRAKIS FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,124300.05,,,160195.00,465000.78,,123600.00,,36175.00,420.00,,,
S4LA00107,C00543983,BILL CASSIDY FOR US SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,162187.00,,4657.00,101057.00,831324.00,,28600.00,,47910.00,23809.00,,,
H8GA10056,C00432666,BILL GREENE FOR CONGRESS,A,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,46606.82,,6127.91,,,,,,,,
H2CO05091,C00509737,BLAHA FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,1200.00,,282.89,,,,,,,,
H0RI01081,C00477190,BILL LYNCH FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,107500.00,,-1195.79,,,,,,,,
H0NY23081,C00464495,BILL OWENS FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,3827.83,,,,98912.66,,,,,,,,
H4NJ12081,C00393926,BILL SPADEA FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,231236.67,,,,,,,,,,
H4CA07055,C00549188,BIRMAN FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,8063.22,2863.22,88429.75,3863.22,3285.55,,,,1000.00,,,2863.22,
,C00566729,ALASKA RIGHT TO LIFE FEDERAL VICTORY FUND,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,,,,,101.60,,,,,,,,
H2CA33147,C00516641,BLOOMFIELD FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,25205.00,,6878.03,,,,,,,,
,C00569343,ALLIANCE FOR A BETTER RHODE ISLAND,Quarterly,2016,Super PAC,Unauthorized,2015-04-01,2015-06-30,60.46,,,,22694.25,,,,,,,,
S6PA00217,C00431056,BOB CASEY FOR SENATE INC,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,139258.00,,,168975.00,386733.00,,15828.00,1205.00,145805.00,6136.00,,,
H4VA00049,C00558528,BOB MARSHALL FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,10475.96,,29417.37,,,,,,,,
H2CA43385,C00518613,BOB FLORES FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,11354.08,,974.40,,,,,,,,
H4MI03227,C00560755,BOB GOODRICH DEMOCRAT FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,8182.30,,,,3227.64,,,,,,,,
S6OH00213,C00545863,BOB HAGAN FOR SENATE,Termination report,2016,Senate,Principal Committee of Candidate,2014-12-31,2015-03-31,4120.00,,,,,,,,,,,,
H0TN05150,C00474593,BOB RIES FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,-805.73,,,,,,,,
S4CO00171,C00434985,BOB SCHAFFER FOR US SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,97615.00,,,,,,,,
,C00562769,BOB QUAST FOR TERM LIMITS INC,Termination report,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-01-01,1643.00,,18356.00,,,,,,,,,,
H4NJ12149,C00558437,BONNIE WATSON COLEMAN FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,13341.99,,115545.84,74507.07,68809.54,,57500.00,,9840.00,7167.07,,,
S2FL00326,C00505941,BORGIA FOR FLORIDA,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,,,10950.00,,107.00,,,,,,,,
H6MS01156,C00574079,BOYCE ADAMS FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,164906.73,150408.00,150408.00,228405.00,63498.27,,2500.00,,72522.00,2975.00,,150408.00,
,C00526012,AMERICA ON THE MOVE,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,,,,,281.52,,,,,,,,
,C00491373,AMERICA'S NEXT GENERATION LLC D/B/A THE NEXT GENERATION,Termination report,2016,Super PAC,Unauthorized,2015-01-01,2015-06-24,1698.03,,,,,,,,,,,,
H2CA08156,C00509554,BRAD MITZELFELT FOR U.S. CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,48.00,,21000.00,,290.19,,,,,,,,
H2IL12130,C00527952,BRADSHAW FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,95.00,,,,-1727.60,,,,,,,,
S4IA00087,C00541417,BRALEY FOR IOWA,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,,,,,,,,,
S4NC00147,C00544213,BRANNON FOR US SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-02-01,2015-03-31,87.00,,,,13180.00,,,,,,,,
H2MI14111,C00552588,BRENDA LAWRENCE FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,82037.32,,,84624.41,118820.05,,37700.00,,40300.00,6397.26,,,
S4NJ00292,C00558874,BRIAN D GOLDBERG FOR US SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,188.00,188.00,8080.00,188.00,150.00,,,,,,,188.00,
S4MA00234,C00556324,BRIAN HERR FOR SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,1717.00,,92897.00,,6.00,,,,,,,,
H4NY27076,C00401034,BRIAN HIGGINS FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,52132.26,,,58921.72,627709.73,,47025.00,,7050.00,4710.48,,,
H0MI07077,C00469973,BRIAN ROONEY FOR CONGRESS,A,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,250000.00,,,,,,,,,,
S4SC00273,C00548339,BRIGHT FOR US SENATE,Termination report,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,2790.00,,652.00,98.00,,,,,,,,,
H6OH02102,C00411215,BRINKMAN FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,567.75,,,,,,,,
H0TX30040,C00471284,BRODEN FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,2000.00,,,,9417.64,,,,,,,,
S0CT00219,C00486829,BRIAN K HILL FOR US SENATE,A,2016,Senate,Principal Committee of Candidate,2015-01-30,2015-04-15,,,,,,,,,,,,,
S4WY00147,C00567370,BRYAN MILLER FOR US SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,,,13271.00,,,,,,,,,,
H4MI08127,C00560987,BRYAN K BARNETT FOR CONGRESS COMMITTEE,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-01-01,,,,,,,,,,,,,
H2TX23116,C00501080,BUSTAMANTE FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-01-29,205.98,,,,,,,,,,,,
H4CO04090,C00573378,BUCK FOR COLORADO 2016,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,17653.41,,,184393.34,166739.93,,44500.00,122124.34,12700.00,4978.00,,,
H4GA01039,C00543967,BUDDY CARTER FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,76999.39,,500000.00,166898.28,308854.22,,96788.28,,64300.00,5810.00,,,
H2TX10113,C00523902,"CADIEN, TAWANA W.",Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,62.85,,31243.37,,760.86,,,,,,,,
H4ME02200,C00546077,CAIN FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,15878.21,,,135810.21,126402.72,,31000.00,,75685.00,28369.78,,,
H6OK05228,C00421750,CALVEY FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,773.08,,,,,,,,
H6OK05228,C00460709,CALVEY FOR CONGRESS 2010,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,280100.00,,,,,,,,,,
H8VA11039,C00440909,BYRNE FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,165411.02,,,,,,,,
S0CO00120,C00384610,CAMPBELL FOR COLORADO,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,2609.00,,,,2631.00,,,,,,,,
H2CA38237,C00513721,CAMPOS FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,5946.00,,1065.00,,,,,,,,
H6UT03042,C00344705,CANNON FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,275219.47,,,,,,,,,,
H4TX28046,C00394353,CANSECO FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,1074595.43,,127821.13,,,,,,,,
S4WV00159,C00539825,CAPITO FOR WEST VIRGINIA,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,105123.00,,,12845.00,589958.00,,,,6850.00,31.00,,,
H6LA07081,C00553693,CAPTAIN BOB BELL FOR CONGRESS IN 2014,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,235.00,,,244.00,2.00,,,,244.00,,,,
H0MD02149,C00480194,CARDARELLI FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,,,,,,,,,
H4CA52051,C00545384,CARL DEMAIO FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,10150.44,,,,48941.70,,,,,,,,
H4FL18068,C00547281,CARL DOMINO FOR CONGRESSS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,2628.02,,1185000.00,1399.50,1178.07,,,,,,,,
H2NJ07143,C00375626,CARDEN FOR CONGRESS,A,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,137502.69,,,,,,,,,,
S4DE00052,C00568329,CARL SMINK FOR US SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2014-11-29,2015-01-31,,,106148.00,,192.44,,,,,,,,
S0CA00330,C00469924,CARLY FOR CALIFORNIA INC,Termination report,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-02-13,490603.00,,,487410.00,,,,,,,487410.00,,
S2AZ00232,C00506022,CARMONA FOR ARIZONA,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,107601.00,,,,,,,,
H4FL09083,C00544635,CAROL PLATT FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,5642.82,,13236.31,4700.00,878.38,,,,,,4700.00,,
H0PA08155,C00474049,CARLINEO FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-04-30,,,36100.00,,6685.00,,,,,,,,
H4LA06104,C00552380,CASSIE FELDER CAMPAIGN LLC,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,927.20,,,2400.00,4475.87,,,,,,,,
H4NC07100,C00562314,CASTEEN FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,,,,,,,,,
H0WA03138,C00460980,CASTILLO FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,30519.83,,433.11,,,,,,,,
S8DE00079,C00349217,CARPER FOR SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,80108.00,,,35217.00,333143.00,,22080.00,,12046.00,812.00,,,
H2PA17079,C00509968,CARTWRIGHT FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,60809.62,,390000.00,103662.95,495927.13,,25700.00,,73081.62,3969.08,,,
H8MI01107,C00435420,CASPERSON FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,22569.74,,12759.05,,,,,,,,
H2TX35011,C00497933,CASTRO FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,105648.00,,,149538.69,304449.54,,45500.00,,89893.15,9735.37,,,
H8IN07259,C00568774,CAT PING FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,41.00,,925.00,,2489.00,,,,,,,,
H0GA10228,C00470393,CATES FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,250000.00,,442.11,,,,,,,,
H2NV04037,C00505834,CEGAVSKE FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,43052.43,,10870.67,,,,,,,,
