is_incumbent,cycle ,not_seeking_reelection,other_office_sought ,other_fec_id ,name,pty ,party ,fec_id ,pcc ,election_year,state,office,office_district,term_class,total_receipts,total_contributions,total_disbursements,outstanding_loans,cash_on_hand,cash_on_hand_date,total_independent_expenditures,independent_expenditures_supporting,independent_expenditures_opposing
False,2016,False,,,"NIGHTENHELSER, TODD ALAN",DEM,D,H6IN03245,C00582924,2016,IN,H,03,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"ZOELLER, GREGORY FRANCIS MR.",REP,R,H6IN09135,C00581249,2016,IN,H,09,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"BOYDSTON, J FATHER REV",IND,,P00004580,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"MURPHY, JUSTIN ROBERT MR",GRE,,P60006558,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"ROBERSON, MICHAEL",REP,R,H6NV03063,C00580852,2016,NV,H,03,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"BAUCOM, DAVID EDWARD",REP,R,P60008653,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"ARCAYA, RENNY",LRU,,P60009479,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"BRIDENSTINE, JAMES FREDERICK",REP,R,H2OK01143,C00502393,2016,OK,H,01,,324797.05,252679.77,134843.62,0.00,560259.69,2015-06-30,0.00,0.00,0.00
False,2016,False,,,"PINKNEY BUTTS, PAMELA M REV",OTH,,P60005881,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"MOORE, BILLY TOM",IND,,P60007473,C00577783,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"MCMENEMY, MICHAEL",DEM,D,P60007333,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"KUFFEL, ROBERT ELLERY",LIB,,P60005527,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"MARKOVICH, BARBARA MAE ADAMS",REP,R,P60005410,C00566695,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"GLADSTONE, STEVE",IDP,,P60007747,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"PERKINS, BILL",DEM,D,H6NY13121,,2016,NY,H,13,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"WEST, WARREN PHILIP",REP,R,P60009354,C00582452,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"CARTER, JOHN R. REP.",REP,R,H2TX31044,C00371203,2016,TX,H,31,,320148.89,164148.89,192531.07,0.00,725697.26,2015-06-30,0.00,0.00,0.00
True,2016,False,,,"PETERS, SCOTT",DEM,D,H2CA52089,C00503110,2016,CA,H,52,,882212.42,385419.43,209991.61,250000.00,740919.54,2015-06-30,0.00,0.00,0.00
True,2016,False,,,"WENSTRUP, BRAD DR.",REP,R,H2OH02085,C00497818,2016,OH,H,02,,287889.07,237989.07,123867.78,0.00,431267.14,2015-06-30,0.00,0.00,0.00
False,2016,False,,,"STEVENS, PATRICIA DIANE",W,,P60008463,C00580183,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"ANDERSON, JOSEPH EDWARD DR. JR.",REP,R,P60006053,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"GOHMERT, LOUIS B. MR. JR.",REP,R,H4TX04039,C00386532,2016,TX,H,01,,81367.90,64525.00,122755.21,0.00,131734.71,2015-06-30,240.00,240.00,0.00
False,2016,False,,,"GENTILE, VINCENT",DEM,D,H6NY11190,C00573675,2015,NY,H,11,,249243.50,196393.50,247735.48,0.00,1508.02,2015-06-30,611.70,611.70,0.00
False,2016,False,,,"JENNINGS, GERALD JOHN MR. II",DEM,D,P60008299,C00579847,2016,US,P,00,,0.00,0.00,86.91,0.00,0.00,,86.91,0.00,0.00
False,2016,False,,,"DESANTIS, RONALD D",REP,R,S6FL00293,C00511568,2016,FL,S,00,3,1431424.13,1431098.13,123820.00,0.00,2017354.00,2015-06-30,117094.79,117094.79,0.00
False,2016,False,,,"VOWELL, EDWARD F.",DEM,D,H6IL12107,C00580522,2016,IL,H,12,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"HART, JASON AARON",DEM,D,P60008760,C00580985,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"THOMPSON, BENNIE G.",DEM,D,H4MS02068,C00279851,2016,MS,H,02,,202557.78,28965.75,212328.25,0.00,1246769.74,2015-06-30,0.00,0.00,0.00
False,2016,False,,,"GERSON, DAVID ADAM",REP,R,H2MN02130,C00523738,2016,MN,H,02,,9145.00,5645.00,6769.66,151067.41,4171.93,2015-06-30,0.00,0.00,0.00
False,2016,False,,,"MARX, ANGELA KAYE",DEM,D,H6WA03176,C00581017,2016,WA,H,03,,1138.04,848.97,0.00,0.00,1138.04,2015-06-30,0.00,0.00,0.00
False,2016,False,,,"ANZOLI, ARMANDO",REP,R,P60008869,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"LYNCH, STEPHEN",DEM,D,H2MA09072,C00366948,2016,MA,H,08,,279945.09,226997.66,168283.26,0.00,518248.57,2015-06-30,0.00,0.00,0.00
False,2016,False,,,"WATKINS, RICHARD GREGARY",NNE,,P60009248,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"PEARSON, MICHAEL TYRONE",DEM,D,H4MD07066,C00566653,2015,MD,H,07,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"EVANS, NICHOLAS",REP,R,P60007002,C00576645,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"FORTENBERRY, JEFFREY L. HONORABLE",REP,R,H4NE01064,C00395467,2016,NE,H,01,,213703.87,128742.02,75280.91,0.00,1297769.60,2015-06-30,0.00,0.00,0.00
False,2016,False,,,"CARROLL, MORGAN L.",DEM,D,H6CO06058,C00580647,2016,CO,H,06,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"SARBANES, JOHN P. MR.",DEM,D,H6MD03292,C00415182,2016,MD,H,03,,231666.00,231666.00,150854.52,0.00,828750.65,2015-06-30,0.00,0.00,0.00
True,2016,False,,,"RUIZ, RAUL DR.",DEM,D,H2CA36439,C00502575,2016,CA,H,36,,814799.59,541636.94,186185.62,0.00,1002340.79,2015-06-30,0.00,0.00,0.00
False,2016,False,,,"KAHN, LYNN SANDRA",IND,,P60005808,C00577817,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"LIEU, TED",DEM,D,H4CA33119,C00556506,2016,CA,H,33,,380851.72,269543.05,253120.69,5507.45,247994.15,2015-06-30,0.00,0.00,0.00
False,2016,False,,,"CHADWICK, HOWARD BRUCE",REP,R,H6TX33017,,2016,TX,H,33,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"SMITH, CHRISTOPHER H.",REP,R,H8NJ04014,C00096412,2016,NJ,H,04,,170708.29,116017.50,65954.59,0.00,313749.49,2015-06-30,0.00,0.00,0.00
False,2016,False,,,"MELLON, ROB",DEM,D,H4IL18109,C00555771,2015,IL,H,18,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"MESSER, ALLEN LUCAS",REP,R,H0IN02125,C00460667,2016,IN,H,06,,423452.97,150271.02,350622.89,0.00,534310.90,2015-06-30,0.00,0.00,0.00
True,2016,False,,,"BROWN, CORRINE",DEM,D,H2FL03056,C00272732,2016,FL,H,05,,105767.33,48782.12,92050.28,20475.44,21559.68,2015-06-30,0.00,0.00,0.00
False,2016,False,,,"RAVISHANKER, DINESH",OTH,,P60005477,C00568972,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"SCHWARTZ, JOHN GRAHAM",UNK,,P60005063,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"ARMSTRONG, BRANDON CHRISTINA",IND,,P60005402,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"SPOTORNO, FRANK",REP,R,S6NY00383,C00579599,2016,NY,S,00,3,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"RATY, TIMOTHY  AARON",ID,,S6ID00096,C00573824,2016,ID,S,00,3,583.00,583.00,577.00,0.00,5.00,2015-06-30,0.00,0.00,0.00
True,2016,False,,,"EDWARDS, DONNA FERN",DEM,D,H6MD04183,C00422964,2016,MD,H,04,,60232.81,29232.81,68557.19,10020.00,21998.21,2015-06-30,0.00,0.00,0.00
False,2016,False,,,"BEERS, ROBERT T",REP,R,S6NV00192,C00556985,2016,NV,S,00,3,56264.00,56264.00,56103.00,5000.00,6220.00,2015-06-30,0.00,0.00,0.00
True,2016,False,,,"FRANKEL, LOIS J.",DEM,D,H2FL14053,C00494856,2016,FL,H,22,,501792.37,400908.28,157092.52,0.00,417455.66,2015-06-30,0.00,0.00,0.00
False,2016,False,,,"JONES-TAYLOR, GAYLE LOLETHA MS",DEM,D,P60007291,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
